日期,代號,名稱,市場,開盤價,最高價,最低價,收盤價,昨收價,漲跌幅%,成交張數,成交金額,均價,振幅%,可當沖
20260520,6230,尼得科超眾,上市,132.5,132.5,127.0,127.0,129.0,-1.55,88,11416135,128.7,4.26,True
20260520,6235,華孚,上市,40.15,40.15,39.55,39.75,39.7,0.13,409,16250362,39.73,1.51,True
20260520,6239,力成,上市,225.0,240.5,224.5,234.5,227.0,3.3,20428,4786513853,234.3,7.05,True
20260520,6243,迅杰,上市,33.2,34.45,33.2,33.55,33.199999999999996,1.05,258,8765976,33.88,3.77,True
20260520,6257,矽格,上市,210.0,212.5,206.0,207.0,210.5,-1.66,13199,2755037852,208.72,3.09,True
20260520,6269,台郡,上市,56.7,58.7,56.0,58.0,56.4,2.84,2861,164468570,57.47,4.79,True
20260520,6271,同欣電,上市,182.0,188.5,181.0,187.5,181.0,3.59,6529,1211618336,185.57,4.14,True
20260520,6272,驊陞,上市,31.85,32.8,31.45,31.6,31.8,-0.63,277,8845191,31.82,4.25,True
20260520,6277,宏正,上市,73.0,73.4,71.8,72.4,72.30000000000001,0.14,228,16560319,72.37,2.21,True
20260520,6278,台表科,上市,214.0,216.5,201.5,203.0,215.5,-5.8,14175,2930789595,206.75,6.96,True
20260520,6281,全國電,上市,51.0,51.0,50.4,50.5,50.7,-0.39,102,5202004,50.65,1.18,True
20260520,6282,康舒,上市,51.3,51.8,50.3,50.8,50.8,0.0,15473,788553526,50.96,2.95,True
20260520,6283,淳安,上市,24.95,24.95,24.15,24.2,24.95,-3.01,235,5739884,24.42,3.21,True
20260520,6285,啟碁,上市,296.0,302.5,278.0,279.0,292.0,-4.45,43247,12475184640,288.46,8.39,True
20260520,6405,悅城,上市,53.8,55.9,52.6,53.5,53.9,-0.74,353,18987949,53.74,6.12,True
20260520,6409,旭隼,上市,703.0,703.0,666.0,668.0,694.0,-3.75,927,625850682,674.77,5.33,True
20260520,6412,群電,上市,92.5,94.9,91.0,94.5,92.2,2.49,3503,327085250,93.36,4.23,True
